"","agency","location_id","location","water_year","datetime","value","value_type","units"
"181","CDEC","FPT","Sacramento River at Freeport","2024",2023-12-02 20:00:00,6590,"discharge","cfs"
"182","CDEC","FPT","Sacramento River at Freeport","2024",2023-12-02 20:15:00,7670,"discharge","cfs"
"183","CDEC","FPT","Sacramento River at Freeport","2024",2023-12-02 20:30:00,8580,"discharge","cfs"
"184","CDEC","FPT","Sacramento River at Freeport","2024",2023-12-02 20:45:00,9160,"discharge","cfs"
"185","CDEC","FPT","Sacramento River at Freeport","2024",2023-12-02 21:00:00,9680,"discharge","cfs"
"186","CDEC","FPT","Sacramento River at Freeport","2024",2023-12-02 21:15:00,10100,"discharge","cfs"
"187","CDEC","FPT","Sacramento River at Freeport","2024",2023-12-02 21:30:00,10500,"discharge","cfs"
"188","CDEC","FPT","Sacramento River at Freeport","2024",2023-12-02 21:45:00,10800,"discharge","cfs"
"189","CDEC","FPT","Sacramento River at Freeport","2024",2023-12-02 22:00:00,11100,"discharge","cfs"
"190","CDEC","FPT","Sacramento River at Freeport","2024",2023-12-02 22:15:00,11300,"discharge","cfs"
"191","CDEC","FPT","Sacramento River at Freeport","2024",2023-12-02 22:30:00,11600,"discharge","cfs"
"192","CDEC","FPT","Sacramento River at Freeport","2024",2023-12-02 22:45:00,11900,"discharge","cfs"
"193","CDEC","FPT","Sacramento River at Freeport","2024",2023-12-02 23:00:00,12100,"discharge","cfs"
"194","CDEC","FPT","Sacramento River at Freeport","2024",2023-12-02 23:15:00,12100,"discharge","cfs"
"195","CDEC","FPT","Sacramento River at Freeport","2024",2023-12-02 23:30:00,12300,"discharge","cfs"
"196","CDEC","FPT","Sacramento River at Freeport","2024",2023-12-02 23:45:00,12400,"discharge","cfs"
"197","CDEC","FPT","Sacramento River at Freeport","2024",2023-12-03,12700,"discharge","cfs"
"198","CDEC","FPT","Sacramento River at Freeport","2024",2023-12-03 00:15:00,12900,"discharge","cfs"
"199","CDEC","FPT","Sacramento River at Freeport","2024",2023-12-03 00:30:00,12800,"discharge","cfs"
"200","CDEC","FPT","Sacramento River at Freeport","2024",2023-12-03 00:45:00,13000,"discharge","cfs"
"201","CDEC","FPT","Sacramento River at Freeport","2024",2023-12-03 01:00:00,13200,"discharge","cfs"
"202","CDEC","FPT","Sacramento River at Freeport","2024",2023-12-03 01:15:00,13400,"discharge","cfs"
"203","CDEC","FPT","Sacramento River at Freeport","2024",2023-12-03 01:30:00,13200,"discharge","cfs"
"204","CDEC","FPT","Sacramento River at Freeport","2024",2023-12-03 01:45:00,13200,"discharge","cfs"
"205","CDEC","FPT","Sacramento River at Freeport","2024",2023-12-03 02:00:00,13400,"discharge","cfs"
"206","CDEC","FPT","Sacramento River at Freeport","2024",2023-12-03 02:15:00,13400,"discharge","cfs"
"207","CDEC","FPT","Sacramento River at Freeport","2024",2023-12-03 02:30:00,13500,"discharge","cfs"
"208","CDEC","FPT","Sacramento River at Freeport","2024",2023-12-03 02:45:00,13400,"discharge","cfs"
"209","CDEC","FPT","Sacramento River at Freeport","2024",2023-12-03 03:00:00,13600,"discharge","cfs"
"210","CDEC","FPT","Sacramento River at Freeport","2024",2023-12-03 03:15:00,13600,"discharge","cfs"
"211","CDEC","FPT","Sacramento River at Freeport","2024",2023-12-03 03:30:00,13600,"discharge","cfs"
"212","CDEC","FPT","Sacramento River at Freeport","2024",2023-12-03 03:45:00,13600,"discharge","cfs"
"213","CDEC","FPT","Sacramento River at Freeport","2024",2023-12-03 04:00:00,13600,"discharge","cfs"
"214","CDEC","FPT","Sacramento River at Freeport","2024",2023-12-03 04:15:00,13700,"discharge","cfs"
"215","CDEC","FPT","Sacramento River at Freeport","2024",2023-12-03 04:30:00,13300,"discharge","cfs"
"216","CDEC","FPT","Sacramento River at Freeport","2024",2023-12-03 04:45:00,13100,"discharge","cfs"
"217","CDEC","FPT","Sacramento River at Freeport","2024",2023-12-03 05:00:00,12800,"discharge","cfs"
"218","CDEC","FPT","Sacramento River at Freeport","2024",2023-12-03 05:15:00,12300,"discharge","cfs"
"219","CDEC","FPT","Sacramento River at Freeport","2024",2023-12-03 05:30:00,11800,"discharge","cfs"
"220","CDEC","FPT","Sacramento River at Freeport","2024",2023-12-03 05:45:00,11200,"discharge","cfs"
"221","CDEC","FPT","Sacramento River at Freeport","2024",2023-12-03 06:00:00,10400,"discharge","cfs"
"222","CDEC","FPT","Sacramento River at Freeport","2024",2023-12-03 06:15:00,9750,"discharge","cfs"
"223","CDEC","FPT","Sacramento River at Freeport","2024",2023-12-03 06:30:00,9050,"discharge","cfs"
"224","CDEC","FPT","Sacramento River at Freeport","2024",2023-12-03 06:45:00,8350,"discharge","cfs"
"225","CDEC","FPT","Sacramento River at Freeport","2024",2023-12-03 07:00:00,7420,"discharge","cfs"
"226","CDEC","FPT","Sacramento River at Freeport","2024",2023-12-03 07:15:00,6720,"discharge","cfs"
"227","CDEC","FPT","Sacramento River at Freeport","2024",2023-12-03 07:30:00,6130,"discharge","cfs"
"228","CDEC","FPT","Sacramento River at Freeport","2024",2023-12-03 07:45:00,5720,"discharge","cfs"
"229","CDEC","FPT","Sacramento River at Freeport","2024",2023-12-03 08:00:00,5210,"discharge","cfs"
"230","CDEC","FPT","Sacramento River at Freeport","2024",2023-12-03 08:15:00,4770,"discharge","cfs"
"231","CDEC","FPT","Sacramento River at Freeport","2024",2023-12-03 08:30:00,4340,"discharge","cfs"
"232","CDEC","FPT","Sacramento River at Freeport","2024",2023-12-03 08:45:00,4090,"discharge","cfs"
"233","CDEC","FPT","Sacramento River at Freeport","2024",2023-12-03 09:00:00,3670,"discharge","cfs"
"234","CDEC","FPT","Sacramento River at Freeport","2024",2023-12-03 09:15:00,3520,"discharge","cfs"
"235","CDEC","FPT","Sacramento River at Freeport","2024",2023-12-03 09:30:00,3350,"discharge","cfs"
"236","CDEC","FPT","Sacramento River at Freeport","2024",2023-12-03 09:45:00,3230,"discharge","cfs"
"237","CDEC","FPT","Sacramento River at Freeport","2024",2023-12-03 10:00:00,3310,"discharge","cfs"
"238","CDEC","FPT","Sacramento River at Freeport","2024",2023-12-03 10:15:00,3460,"discharge","cfs"
"239","CDEC","FPT","Sacramento River at Freeport","2024",2023-12-03 10:30:00,3900,"discharge","cfs"
"240","CDEC","FPT","Sacramento River at Freeport","2024",2023-12-03 10:45:00,4360,"discharge","cfs"
"241","CDEC","FPT","Sacramento River at Freeport","2024",2023-12-03 11:00:00,4930,"discharge","cfs"
"242","CDEC","FPT","Sacramento River at Freeport","2024",2023-12-03 11:15:00,5610,"discharge","cfs"
"243","CDEC","FPT","Sacramento River at Freeport","2024",2023-12-03 11:30:00,6520,"discharge","cfs"
"244","CDEC","FPT","Sacramento River at Freeport","2024",2023-12-03 11:45:00,7360,"discharge","cfs"
"245","CDEC","FPT","Sacramento River at Freeport","2024",2023-12-03 12:00:00,8150,"discharge","cfs"
"246","CDEC","FPT","Sacramento River at Freeport","2024",2023-12-03 12:15:00,8660,"discharge","cfs"
"247","CDEC","FPT","Sacramento River at Freeport","2024",2023-12-03 12:30:00,9240,"discharge","cfs"
"248","CDEC","FPT","Sacramento River at Freeport","2024",2023-12-03 12:45:00,9800,"discharge","cfs"
"249","CDEC","FPT","Sacramento River at Freeport","2024",2023-12-03 13:00:00,10000,"discharge","cfs"
"250","CDEC","FPT","Sacramento River at Freeport","2024",2023-12-03 13:15:00,10300,"discharge","cfs"
"251","CDEC","FPT","Sacramento River at Freeport","2024",2023-12-03 13:30:00,10400,"discharge","cfs"
"252","CDEC","FPT","Sacramento River at Freeport","2024",2023-12-03 13:45:00,10600,"discharge","cfs"
"253","CDEC","FPT","Sacramento River at Freeport","2024",2023-12-03 14:00:00,10700,"discharge","cfs"
"254","CDEC","FPT","Sacramento River at Freeport","2024",2023-12-03 14:15:00,10700,"discharge","cfs"
"255","CDEC","FPT","Sacramento River at Freeport","2024",2023-12-03 14:30:00,11000,"discharge","cfs"
"256","CDEC","FPT","Sacramento River at Freeport","2024",2023-12-03 14:45:00,11100,"discharge","cfs"
"257","CDEC","FPT","Sacramento River at Freeport","2024",2023-12-03 15:00:00,11100,"discharge","cfs"
"258","CDEC","FPT","Sacramento River at Freeport","2024",2023-12-03 15:15:00,11000,"discharge","cfs"
"259","CDEC","FPT","Sacramento River at Freeport","2024",2023-12-03 15:30:00,11000,"discharge","cfs"
"260","CDEC","FPT","Sacramento River at Freeport","2024",2023-12-03 15:45:00,10900,"discharge","cfs"
"261","CDEC","FPT","Sacramento River at Freeport","2024",2023-12-03 16:00:00,10700,"discharge","cfs"
"262","CDEC","FPT","Sacramento River at Freeport","2024",2023-12-03 16:15:00,10500,"discharge","cfs"
