"","agency","location_id","location","water_year","datetime","value","value_type","units"
"128","CDEC","GES","Sacramento River below Georgiana Slough","2026",2025-12-02 06:45:00,7250,"discharge","cfs"
"129","CDEC","GES","Sacramento River below Georgiana Slough","2026",2025-12-02 07:00:00,6850,"discharge","cfs"
"130","CDEC","GES","Sacramento River below Georgiana Slough","2026",2025-12-02 07:15:00,6330,"discharge","cfs"
"131","CDEC","GES","Sacramento River below Georgiana Slough","2026",2025-12-02 07:30:00,5560,"discharge","cfs"
"132","CDEC","GES","Sacramento River below Georgiana Slough","2026",2025-12-02 07:45:00,4530,"discharge","cfs"
"133","CDEC","GES","Sacramento River below Georgiana Slough","2026",2025-12-02 08:00:00,3240,"discharge","cfs"
"134","CDEC","GES","Sacramento River below Georgiana Slough","2026",2025-12-02 08:15:00,2250,"discharge","cfs"
"135","CDEC","GES","Sacramento River below Georgiana Slough","2026",2025-12-02 08:30:00,929,"discharge","cfs"
"136","CDEC","GES","Sacramento River below Georgiana Slough","2026",2025-12-02 08:45:00,-285,"discharge","cfs"
"137","CDEC","GES","Sacramento River below Georgiana Slough","2026",2025-12-02 09:00:00,-1290,"discharge","cfs"
"138","CDEC","GES","Sacramento River below Georgiana Slough","2026",2025-12-02 09:15:00,-2610,"discharge","cfs"
"139","CDEC","GES","Sacramento River below Georgiana Slough","2026",2025-12-02 09:30:00,-3470,"discharge","cfs"
"140","CDEC","GES","Sacramento River below Georgiana Slough","2026",2025-12-02 09:45:00,-4080,"discharge","cfs"
"141","CDEC","GES","Sacramento River below Georgiana Slough","2026",2025-12-02 10:00:00,-4520,"discharge","cfs"
"142","CDEC","GES","Sacramento River below Georgiana Slough","2026",2025-12-02 10:15:00,-5000,"discharge","cfs"
"143","CDEC","GES","Sacramento River below Georgiana Slough","2026",2025-12-02 10:30:00,-5360,"discharge","cfs"
"144","CDEC","GES","Sacramento River below Georgiana Slough","2026",2025-12-02 10:45:00,-5550,"discharge","cfs"
"145","CDEC","GES","Sacramento River below Georgiana Slough","2026",2025-12-02 11:00:00,-5670,"discharge","cfs"
"146","CDEC","GES","Sacramento River below Georgiana Slough","2026",2025-12-02 11:15:00,-5770,"discharge","cfs"
"147","CDEC","GES","Sacramento River below Georgiana Slough","2026",2025-12-02 11:30:00,-5720,"discharge","cfs"
"148","CDEC","GES","Sacramento River below Georgiana Slough","2026",2025-12-02 11:45:00,-5710,"discharge","cfs"
"149","CDEC","GES","Sacramento River below Georgiana Slough","2026",2025-12-02 12:00:00,-5720,"discharge","cfs"
"150","CDEC","GES","Sacramento River below Georgiana Slough","2026",2025-12-02 12:15:00,-5570,"discharge","cfs"
"151","CDEC","GES","Sacramento River below Georgiana Slough","2026",2025-12-02 12:30:00,-5230,"discharge","cfs"
"152","CDEC","GES","Sacramento River below Georgiana Slough","2026",2025-12-02 12:45:00,-4880,"discharge","cfs"
"153","CDEC","GES","Sacramento River below Georgiana Slough","2026",2025-12-02 13:00:00,-4280,"discharge","cfs"
"154","CDEC","GES","Sacramento River below Georgiana Slough","2026",2025-12-02 13:15:00,-3500,"discharge","cfs"
"155","CDEC","GES","Sacramento River below Georgiana Slough","2026",2025-12-02 13:30:00,-2110,"discharge","cfs"
"156","CDEC","GES","Sacramento River below Georgiana Slough","2026",2025-12-02 13:45:00,-858,"discharge","cfs"
"157","CDEC","GES","Sacramento River below Georgiana Slough","2026",2025-12-02 14:00:00,940,"discharge","cfs"
"158","CDEC","GES","Sacramento River below Georgiana Slough","2026",2025-12-02 14:15:00,2950,"discharge","cfs"
"159","CDEC","GES","Sacramento River below Georgiana Slough","2026",2025-12-02 14:30:00,4310,"discharge","cfs"
"160","CDEC","GES","Sacramento River below Georgiana Slough","2026",2025-12-02 14:45:00,5310,"discharge","cfs"
"161","CDEC","GES","Sacramento River below Georgiana Slough","2026",2025-12-02 15:00:00,6190,"discharge","cfs"
"162","CDEC","GES","Sacramento River below Georgiana Slough","2026",2025-12-02 15:15:00,6730,"discharge","cfs"
"163","CDEC","GES","Sacramento River below Georgiana Slough","2026",2025-12-02 15:30:00,7190,"discharge","cfs"
"164","CDEC","GES","Sacramento River below Georgiana Slough","2026",2025-12-02 15:45:00,7540,"discharge","cfs"
"165","CDEC","GES","Sacramento River below Georgiana Slough","2026",2025-12-02 16:00:00,7990,"discharge","cfs"
"166","CDEC","GES","Sacramento River below Georgiana Slough","2026",2025-12-02 16:15:00,8340,"discharge","cfs"
"167","CDEC","GES","Sacramento River below Georgiana Slough","2026",2025-12-02 16:30:00,8390,"discharge","cfs"
"168","CDEC","GES","Sacramento River below Georgiana Slough","2026",2025-12-02 16:45:00,8580,"discharge","cfs"
"169","CDEC","GES","Sacramento River below Georgiana Slough","2026",2025-12-02 17:00:00,8550,"discharge","cfs"
"170","CDEC","GES","Sacramento River below Georgiana Slough","2026",2025-12-02 17:15:00,8820,"discharge","cfs"
"171","CDEC","GES","Sacramento River below Georgiana Slough","2026",2025-12-02 17:30:00,8940,"discharge","cfs"
"172","CDEC","GES","Sacramento River below Georgiana Slough","2026",2025-12-02 17:45:00,9010,"discharge","cfs"
"173","CDEC","GES","Sacramento River below Georgiana Slough","2026",2025-12-02 18:00:00,9100,"discharge","cfs"
"174","CDEC","GES","Sacramento River below Georgiana Slough","2026",2025-12-02 18:15:00,9160,"discharge","cfs"
"175","CDEC","GES","Sacramento River below Georgiana Slough","2026",2025-12-02 18:30:00,9170,"discharge","cfs"
"176","CDEC","GES","Sacramento River below Georgiana Slough","2026",2025-12-02 18:45:00,9130,"discharge","cfs"
"177","CDEC","GES","Sacramento River below Georgiana Slough","2026",2025-12-02 19:00:00,9280,"discharge","cfs"
